        Frequency / MHz                S1,1/abs,linear
----------------------------------------------------------------------
                     500                               1
                   502.5                               1
                     505                               1
                   507.5                               1
                     510                               1
                   512.5                               1
                     515                      0.99999998
                   517.5                       1.0000001
                     520                               1
                   522.5                      0.99999994
                     525                      0.99999997
                   527.5                       1.0000001
                     530                               1
                   532.5                      0.99999999
                     535                               1
                   537.5                       1.0000001
                     540                               1
                   542.5                      0.99999999
                     545                       1.0000001
                   547.5                               1
                     550                      0.99999997
                   552.5                               1
                     555                               1
                   557.5                       1.0000001
                     560                               1
                   562.5                       1.0000001
                     565                               1
                   567.5                      0.99999996
                     570                               1
                   572.5                      0.99999997
                     575                       1.0000001
                   577.5                      0.99999998
                     580                               1
                   582.5                               1
                     585                               1
                   587.5                               1
                     590                      0.99999999
                   592.5                               1
                     595                       1.0000001
                   597.5                      0.99999999
                     600                               1
                   602.5                               1
                     605                               1
                   607.5                      0.99999997
                     610                               1
                   612.5                               1
                     615                               1
                   617.5                               1
                     620                               1
                   622.5                      0.99999999
                     625                               1
                   627.5                      0.99999996
                     630                       1.0000001
                   632.5                      0.99999999
                     635                               1
                   637.5                               1
                     640                       1.0000001
                   642.5                      0.99999999
                     645                      0.99999998
                   647.5                               1
                     650                               1
                   652.5                      0.99999995
                     655                               1
                   657.5                      0.99999999
                     660                      0.99999998
                   662.5                               1
                     665                               1
                   667.5                               1
                     670                               1
                   672.5                      0.99999999
                     675                               1
                   677.5                               1
                     680                               1
                   682.5                      0.99999997
                     685                               1
                   687.5                               1
                     690                               1
                   692.5                               1
                     695                               1
                   697.5                      0.99999994
                     700                       1.0000001
                   702.5                       1.0000001
                     705                      0.99999999
                   707.5                      0.99999999
                     710                               1
                   712.5                      0.99999999
                     715                      0.99999998
                   717.5                      0.99999998
                     720                               1
                   722.5                               1
                     725                      0.99999999
                   727.5                               1
                     730                      0.99999999
                   732.5                      0.99999999
                     735                      0.99999999
                   737.5                       1.0000001
                     740                       1.0000001
                   742.5                      0.99999994
                     745                      0.99999995
                   747.5                               1
                     750                               1
                   752.5                               1
                     755                               1
                   757.5                               1
                     760                      0.99999998
                   762.5                      0.99999999
                     765                               1
                   767.5                               1
                     770                      0.99999996
                   772.5                      0.99999996
                     775                      0.99999997
                   777.5                               1
                     780                       1.0000001
                   782.5                       1.0000001
                     785                               1
                   787.5                      0.99999997
                     790                      0.99999998
                   792.5                      0.99999999
                     795                               1
                   797.5                               1
                     800                               1
                   802.5                               1
                     805                       1.0000001
                   807.5                       1.0000001
                     810                               1
                   812.5                      0.99999998
                     815                               1
                   817.5                               1
                     820                      0.99999997
                   822.5                      0.99999999
                     825                               1
                   827.5                               1
                     830                      0.99999999
                   832.5                               1
                     835                               1
                   837.5                      0.99999998
                     840                               1
                   842.5                      0.99999997
                     845                               1
                   847.5                               1
                     850                               1
                   852.5                      0.99999999
                     855                               1
                   857.5                               1
                     860                               1
                   862.5                               1
                     865                      0.99999999
                   867.5                      0.99999996
                     870                      0.99999998
                   872.5                      0.99999995
                     875                      0.99999997
                   877.5                               1
                     880                               1
                   882.5                      0.99999999
                     885                               1
                   887.5                               1
                     890                               1
                   892.5                      0.99999999
                     895                               1
                   897.5                               1
                     900                               1
                   902.5                               1
                     905                               1
                   907.5                      0.99999999
                     910                      0.99999996
                   912.5                       1.0000001
                     915                               1
                   917.5                               1
                     920                               1
                   922.5                               1
                     925                      0.99999998
                   927.5                               1
                     930                       1.0000001
                   932.5                               1
                     935                               1
                   937.5                               1
                     940                               1
                   942.5                               1
                     945                      0.99999997
                   947.5                               1
                     950                       1.0000001
                   952.5                               1
                     955                               1
                   957.5                       1.0000001
                     960                               1
                   962.5                               1
                     965                       1.0000001
                   967.5                               1
                     970                       1.0000001
                   972.5                               1
                     975                               1
                   977.5                      0.99999997
                     980                               1
                   982.5                       1.0000001
                     985                               1
                   987.5                      0.99999996
                     990                       1.0000001
                   992.5                       1.0000001
                     995                      0.99999998
                   997.5                               1
                    1000                               1
                  1002.5                               1
                    1005                      0.99999999
                  1007.5                               1
                    1010                               1
                  1012.5                      0.99999996
                    1015                               1
                  1017.5                               1
                    1020                      0.99999999
                  1022.5                       1.0000001
                    1025                               1
                  1027.5                               1
                    1030                               1
                  1032.5                       1.0000001
                    1035                               1
                  1037.5                      0.99999999
                    1040                      0.99999999
                  1042.5                               1
                    1045                               1
                  1047.5                               1
                    1050                               1
                  1052.5                               1
                    1055                      0.99999996
                  1057.5                               1
                    1060                               1
                  1062.5                      0.99999995
                    1065                               1
                  1067.5                               1
                    1070                               1
                  1072.5                               1
                    1075                               1
                  1077.5                               1
                    1080                               1
                  1082.5                               1
                    1085                               1
                  1087.5                       1.0000001
                    1090                               1
                  1092.5                       1.0000001
                    1095                               1
                  1097.5                               1
                    1100                      0.99999996
                  1102.5                               1
                    1105                               1
                  1107.5                      0.99999998
                    1110                               1
                  1112.5                               1
                    1115                               1
                  1117.5                       1.0000001
                    1120                               1
                  1122.5                               1
                    1125                      0.99999997
                  1127.5                      0.99999998
                    1130                      0.99999992
                  1132.5                      0.99999993
                    1135                      0.99999994
                  1137.5                      0.99999995
                    1140                       0.9999999
                  1142.5                      0.99999998
                    1145                      0.99999993
                  1147.5                      0.99999988
                    1150                      0.99999995
                  1152.5                      0.99999996
                    1155                      0.99999998
                  1157.5                      0.99999993
                    1160                      0.99999995
                  1162.5                      0.99999996
                    1165                      0.99999991
                  1167.5                      0.99999999
                    1170                      0.99999995
                  1172.5                       0.9999999
                    1175                      0.99999998
                  1177.5                      0.99999994
                    1180                      0.99999995
                  1182.5                      0.99999997
                    1185                      0.99999999
                  1187.5                      0.99999995
                    1190                      0.99999991
                  1192.5                      0.99999993
                    1195                      0.99999995
                  1197.5                      0.99999997
                    1200                      0.99999993
                  1202.5                      0.99999995
                    1205                      0.99999991
                  1207.5                      0.99999993
                    1210                      0.99999995
                  1212.5                      0.99999998
                    1215                      0.99999994
                  1217.5                      0.99999996
                    1220                      0.99999993
                  1222.5                      0.99999989
                    1225                      0.99999998
                  1227.5                               1
                    1230                      0.99999997
                  1232.5                      0.99999994
                    1235                       0.9999999
                  1237.5                      0.99999999
                    1240                      0.99999996
                  1242.5                      0.99999992
                    1245                      0.99999995
                  1247.5                      0.99999992
                    1250                      0.99999995
                  1252.5                      0.99999998
                    1255                      0.99999989
                  1257.5                      0.99999992
                    1260                      0.99999995
                  1262.5                      0.99999998
                    1265                      0.99999989
                  1267.5                      0.99999993
                    1270                               1
                  1272.5                      0.99999999
                    1275                      0.99999991
                  1277.5                      0.99999994
                    1280                      0.99999997
                  1282.5                      0.99999995
                    1285                      0.99999998
                  1287.5                      0.99999996
                    1290                      0.99999988
                  1292.5                      0.99999991
                    1295                      0.99999995
                  1297.5                      0.99999993
                    1300                       0.9999999
                  1302.5                               1
                    1305                      0.99999998
                  1307.5                       0.9999999
                    1310                               1
                  1312.5                      0.99999998
                    1315                       0.9999999
                  1317.5                      0.99999994
                    1320                      0.99999998
                  1322.5                      0.99999996
                    1325                      0.99999994
                  1327.5                      0.99999992
                    1330                      0.99999997
                  1332.5                      0.99999995
                    1335                      0.99999993
                  1337.5                      0.99999998
                    1340                      0.99999996
                  1342.5                      0.99999995
                    1345                      0.99999999
                  1347.5                      0.99999992
                    1350                      0.99999996
                  1352.5                      0.99999989
                    1355                               1
                  1357.5                      0.99999998
                    1360                      0.99999991
                  1362.5                      0.99999996
                    1365                               1
                  1367.5                      0.99999994
                    1370                      0.99999993
                  1372.5                      0.99999998
                    1375                      0.99999991
                  1377.5                      0.99999996
                    1380                               1
                  1382.5                      0.99999994
                    1385                      0.99999993
                  1387.5                      0.99999993
                    1390                      0.99999998
                  1392.5                      0.99999991
                    1395                      0.99999996
                  1397.5                      0.99999996
                    1400                      0.99999995
                  1402.5                      0.99999995
                    1405                      0.99999994
                  1407.5                      0.99999994
                    1410                      0.99999994
                  1412.5                      0.99999993
                    1415                      0.99999987
                  1417.5                      0.99999981
                    1420                      0.99999987
                  1422.5                      0.99999986
                    1425                      0.99999986
                  1427.5                      0.99999992
                    1430                      0.99999992
                  1432.5                      0.99999986
                    1435                      0.99999986
                  1437.5                      0.99999986
                    1440                      0.99999992
                  1442.5                      0.99999987
                    1445                      0.99999987
                  1447.5                      0.99999993
                    1450                      0.99999987
                  1452.5                      0.99999988
                    1455                      0.99999994
                  1457.5                      0.99999982
                    1460                      0.99999995
                  1462.5                      0.99999989
                    1465                       0.9999999
                  1467.5                      0.99999991
                    1470                      0.99999985
                  1472.5                      0.99999986
                    1475                      0.99999987
                  1477.5                      0.99999993
                    1480                      0.99999994
                  1482.5                      0.99999989
                    1485                      0.99999984
                  1487.5                      0.99999985
                    1490                      0.99999986
                  1492.5                      0.99999987
                    1495                      0.99999988
                  1497.5                      0.99999983
                    1500                       0.9999999
                  1502.5                      0.99999985
                    1505                      0.99999992
                  1507.5                      0.99999988
                    1510                      0.99999983
                  1512.5                       0.9999999
                    1515                      0.99999992
                  1517.5                      0.99999987
                    1520                      0.99999983
                  1522.5                       0.9999999
                    1525                      0.99999992
                  1527.5                      0.99999987
                    1530                      0.99999989
                  1532.5                      0.99999991
                    1535                      0.99999992
                  1537.5                      0.99999988
                    1540                       0.9999999
                  1542.5                      0.99999992
                    1545                      0.99999988
                  1547.5                       0.9999999
                    1550                      0.99999986
                  1552.5                      0.99999988
                    1555                       0.9999999
                  1557.5                      0.99999992
                    1560                      0.99999982
                  1562.5                       0.9999999
                    1565                      0.99999993
                  1567.5                      0.99999983
                    1570                      0.99999985
                  1572.5                      0.99999988
                    1575                       0.9999999
                  1577.5                      0.99999992
                    1580                      0.99999989
                  1582.5                      0.99999985
                    1585                      0.99999988
                  1587.5                      0.99999991
                    1590                      0.99999993
                  1592.5                      0.99999984
                    1595                      0.99999987
                  1597.5                       0.9999999
                    1600                      0.99999986
                  1602.5                      0.99999989
                    1605                      0.99999992
                  1607.5                      0.99999989
                    1610                      0.99999992
                  1612.5                      0.99999989
                    1615                      0.99999992
                  1617.5                      0.99999989
                    1620                      0.99999981
                  1622.5                       0.9999999
                    1625                      0.99999993
                  1627.5                      0.99999984
                    1630                      0.99999994
                  1632.5                      0.99999985
                    1635                      0.99999989
                  1637.5                      0.99999986
                    1640                       0.9999999
                  1642.5                      0.99999987
                    1645                      0.99999991
                  1647.5                      0.99999988
                    1650                      0.99999992
                  1652.5                       0.9999999
                    1655                      0.99999987
                  1657.5                      0.99999991
                    1660                      0.99999989
                  1662.5                      0.99999987
                    1665                      0.99999991
                  1667.5                      0.99999989
                    1670                      0.99999987
                  1672.5                      0.99999985
                    1675                      0.99999989
                  1677.5                      0.99999987
                    1680                      0.99999991
                  1682.5                       0.9999999
                    1685                      0.99999988
                  1687.5                      0.99999986
                    1690                      0.99999991
                  1692.5                      0.99999989
                    1695                      0.99999988
                  1697.5                      0.99999992
                    1700                      0.99999985
                  1702.5                      0.99999989
                    1705                      0.99999982
                  1707.5                      0.99999986
                    1710                      0.99999991
                  1712.5                      0.99999984
                    1715                      0.99999989
                  1717.5                      0.99999988
                    1720                      0.99999986
                  1722.5                      0.99999985
                    1725                       0.9999999
                  1727.5                      0.99999989
                    1730                      0.99999988
                  1732.5                      0.99999987
                    1735                      0.99999992
                  1737.5                      0.99999986
                    1740                      0.99999985
                  1742.5                      0.99999984
                    1745                      0.99999989
                  1747.5                      0.99999983
                    1750                      0.99999988
                  1752.5                      0.99999994
                    1755                      0.99999987
                  1757.5                      0.99999987
                    1760                      0.99999992
                  1762.5                      0.99999986
                    1765                      0.99999985
                  1767.5                      0.99999985
                    1770                      0.99999991
                  1772.5                       0.9999999
                    1775                      0.99999984
                  1777.5                       0.9999999
                    1780                       0.9999999
                  1782.5                       0.9999999
                    1785                       0.9999999
                  1787.5                      0.99999996
                    1790                       0.9999999
                  1792.5                       0.9999999
                    1795                       0.9999999
                  1797.5                       0.9999999
                    1800                      0.99999991
                  1802.5                      0.99999985
                    1805                      0.99999991
                  1807.5                      0.99999986
                    1810                      0.99999986
                  1812.5                      0.99999993
                    1815                      0.99999981
                  1817.5                      0.99999988
                    1820                      0.99999994
                  1822.5                      0.99999989
                    1825                      0.99999983
                  1827.5                      0.99999984
                    1830                      0.99999985
                  1832.5                      0.99999992
                    1835                      0.99999986
                  1837.5                      0.99999987
                    1840                      0.99999988
                  1842.5                      0.99999989
                    1845                       0.9999999
                  1847.5                      0.99999985
                    1850                      0.99999992
                  1852.5                      0.99999987
                    1855                      0.99999989
                  1857.5                       0.9999999
                    1860                      0.99999985
                  1862.5                      0.99999986
                    1865                      0.99999988
