        Frequency / MHz                S1,1/abs,dB
----------------------------------------------------------------------
                     500                      0.16206683
                   502.5                      0.17251887
                     505                      0.18144713
                   507.5                      0.18880672
                     510                       0.1945633
                   512.5                      0.19869772
                     515                      0.20119588
                   517.5                      0.20206168
                     520                       0.2013018
                   522.5                      0.19894236
                     525                      0.19501305
                   527.5                      0.18955702
                     530                      0.18262376
                   532.5                       0.1742779
                     535                        0.164588
                   537.5                      0.15363232
                     540                      0.14149677
                   542.5                      0.12827745
                     545                      0.11407322
                   547.5                      0.09899533
                     550                     0.083154783
                   552.5                     0.066669889
                     555                     0.049664719
                   557.5                     0.032264652
                     560                     0.014598589
                   562.5                   -0.0032031597
                     565                    -0.021006494
                   567.5                    -0.038683178
                     570                    -0.056101191
                   572.5                    -0.073133783
                     575                    -0.089655742
                   577.5                     -0.10554772
                     580                     -0.12069256
                   582.5                     -0.13498405
                     585                     -0.14832115
                   587.5                     -0.16061064
                     590                     -0.17176766
                   592.5                     -0.18172064
                     595                      -0.1904055
                   597.5                     -0.19777105
                     600                     -0.20377585
                   602.5                     -0.20839264
                     605                     -0.21160513
                   607.5                     -0.21340911
                     610                     -0.21381361
                   612.5                     -0.21283702
                     615                     -0.21051258
                   617.5                     -0.20688244
                     620                     -0.20199905
                   622.5                     -0.19592675
                     625                     -0.18873647
                   627.5                     -0.18050812
                     630                     -0.17132907
                   632.5                     -0.16129298
                     635                     -0.15049887
                   637.5                     -0.13904949
                     640                      -0.1270521
                   642.5                     -0.11461479
                     645                     -0.10184651
                   647.5                    -0.088859547
                     650                    -0.075762737
                   652.5                    -0.062664951
                     655                    -0.049673224
                   657.5                    -0.036889754
                     660                    -0.024416407
                   662.5                    -0.012347889
                     665                  -0.00077551711
                   667.5                     0.010214569
                     670                     0.020540343
                   672.5                     0.030128615
                     675                      0.03891021
                   677.5                     0.046824104
                     680                     0.053815462
                   682.5                     0.059834182
                     685                     0.064839346
                   687.5                     0.068797731
                     690                     0.071682039
