        Theta / deg                Directivity,Phi=135.0/
----------------------------------------------------------------------
                    -180                       2.1344032
                    -175                       2.1929816
                    -170                       2.2298044
                    -165                       2.2454307
                    -160                        2.240963
                    -155                       2.2180032
                    -150                       2.1786095
                    -145                       2.1252447
                    -140                       2.0607147
                    -135                       1.9880979
                    -130                       1.9106649
                    -125                       1.8317879
                    -120                       1.7548411
                    -115                       1.6830931
                    -110                       1.6195925
                    -105                       1.5670516
                    -100                       1.5277327
                     -95                       1.5033448
                     -90                       1.4949571
                     -85                       1.5029408
                     -80                       1.5269323
                     -75                       1.5658471
                     -70                       1.6179205
                     -65                       1.6807836
                     -60                       1.7515668
                     -55                       1.8270225
                     -50                       1.9036582
                     -45                       1.9778712
                     -40                       2.0460792
                     -35                       2.1048404
                     -30                       2.1509611
                     -25                       2.1815889
                     -20                       2.1942917
                     -15                       2.1871224
                     -10                       2.1586712
                      -5                       2.1081048
                       0                       2.0351207
                       5                       1.9403506
                      10                       1.8246032
                      15                       1.6895649
                      20                       1.5374711
                      25                       1.3711186
                      30                        1.193813
                      35                       1.0093003
                      40                       0.8216813
                      45                      0.63530926
                      50                      0.45467324
                      55                      0.28426884
                      60                      0.12846065
                      65                   -0.0086590355
                      70                     -0.12340966
                      75                     -0.21265394
                      80                     -0.27391502
                      85                     -0.30547282
                      90                     -0.30642948
                      95                     -0.27675855
                     100                     -0.21729571
                     105                     -0.12970781
                     110                    -0.016424069
                     115                      0.11946293
                     120                      0.27431956
                     125                       0.4441085
                     130                      0.62453257
                     135                      0.81117746
                     140                      0.99964679
                     145                       1.1856851
                     150                       1.3652859
                     155                       1.5347832
                     160                       1.6909274
                     165                       1.8309441
                     170                       1.9525792
                     175                       2.0541292
                     180                       2.1344032

