        Frequency / MHz                S1,1/abs,dB
----------------------------------------------------------------------
                     500                   1.1447709e-08
                   502.5                    -0.065005206
                     505                     -0.13781569
                   507.5                     -0.21830714
                     510                     -0.30631137
                   512.5                     -0.40160651
                     515                     -0.50391289
                   517.5                     -0.61289259
                     520                       -0.728136
                   522.5                     -0.84915879
                     525                     -0.97539174
                   527.5                      -1.1061778
                     530                      -1.2407595
                   532.5                      -1.3782783
                     535                      -1.5177631
                   537.5                      -1.6581306
                     540                      -1.7981872
                   542.5                      -1.9366246
                     545                        -2.07204
                   547.5                      -2.2029393
                     550                      -2.3277689
                   552.5                       -2.444939
                     555                      -2.5528585
                   557.5                      -2.6499869
                     560                      -2.7348775
                   562.5                       -2.806225
                     565                      -2.8629272
                   567.5                      -2.9041226
                     570                      -2.9292351
                   572.5                      -2.9379943
                     575                      -2.9304519
                   577.5                      -2.9069772
                     580                      -2.8682352
                   582.5                      -2.8151571
                     585                       -2.748897
                   587.5                        -2.67078
                     590                      -2.5822511
                   592.5                      -2.4848283
                     595                      -2.3800512
                   597.5                      -2.2694409
                     600                       -2.154467
                   602.5                      -2.0365246
                     605                      -1.9169127
                   607.5                      -1.7968235
                     610                      -1.6773321
                   612.5                      -1.5594061
                     615                      -1.4438935
                   617.5                      -1.3315357
                     620                      -1.2229705
                   622.5                      -1.1187393
                     625                      -1.0192935
                   627.5                     -0.92500804
                     630                     -0.83617821
                   632.5                     -0.75303613
                     635                     -0.67574934
                   637.5                     -0.60443452
                     640                     -0.53915947
                   642.5                     -0.47994334
                     645                     -0.42676656
                   647.5                     -0.37957211
                     650                     -0.33827178
                   652.5                     -0.30274107
                     655                     -0.27282777
                   657.5                     -0.24835501
                     660                      -0.2291203
                   662.5                     -0.21489126
                     665                     -0.20542124
                   667.5                      -0.2004366
                     670                     -0.19964708
                   672.5                     -0.20274127
                     675                     -0.20939031
                   677.5                     -0.21925354
                     680                     -0.23197409
                   682.5                     -0.24718065
                     685                     -0.26449739
                   687.5                     -0.28353427
                     690                     -0.30390164
                   692.5                     -0.32521084
                     695                      -0.3470654
                   697.5                     -0.36908704
                     700                     -0.39089345
                   702.5                     -0.41212651
                     705                     -0.43243961
                   707.5                     -0.45150905
                     710                     -0.46903691
                   712.5                      -0.4847514
                     715                     -0.49841473
                   717.5                     -0.50982809
                     720                     -0.51882461
                   722.5                     -0.52527893
                     725                     -0.52910848
                   727.5                     -0.53026869
                     730                     -0.52875687
                   732.5                      -0.5246111
                     735                     -0.51790376
                   737.5                     -0.50874583
                     740                     -0.49727831
                   742.5                       -0.483672
                     745                     -0.46812068
                   747.5                     -0.45084232
                     750                     -0.43206745
                   752.5                     -0.41204027
                     755                     -0.39101341
                   757.5                     -0.36924379
                     760                     -0.34698626
                   762.5                     -0.32449564
                     765                     -0.30201658
                   767.5                     -0.27978651
                     770                      -0.2580307
                   772.5                      -0.2369592
                     775                     -0.21676659
                   777.5                     -0.19763113
                     780                     -0.17971139
                   782.5                     -0.16314565
                     785                     -0.14805423
                   787.5                     -0.13453392
                     790                     -0.12266437
                   792.5                     -0.11250249
                     795                     -0.10408505
                   797.5                    -0.097429923
                     800                    -0.092533676
                   802.5                    -0.089374673
                     805                    -0.087913758
                   807.5                    -0.088092868
                     810                    -0.089841869
                   812.5                    -0.093069515
                     815                    -0.097674652
                   817.5                      -0.1035414
                     820                     -0.11054296
                   822.5                     -0.11854403
                     825                     -0.12739962
                   827.5                     -0.13695803
                     830                     -0.14706239
                   832.5                     -0.15755449
                     835                     -0.16827288
                   837.5                     -0.17905903
                     840                     -0.18975486
                   842.5                      -0.2002073
                     845                     -0.21026891
                   847.5                     -0.21980304
                     850                     -0.22868076
                   852.5                     -0.23678498
                     855                     -0.24401116
                   857.5                     -0.25026887
                     860                     -0.25548267
                   862.5                     -0.25959424
                     865                     -0.26256161
                   867.5                     -0.26435736
                     870                     -0.26497239
                   872.5                     -0.26441514
                     875                     -0.26270711
                   877.5                     -0.25989049
                     880                     -0.25601573
                   882.5                     -0.25115108
                     885                      -0.2453747
                   887.5                     -0.23877545
                     890                     -0.23145256
                   892.5                     -0.22351138
                     895                      -0.2150626
                   897.5                     -0.20622231
                     900                     -0.19710671
                   902.5                     -0.18783453
                     905                     -0.17852408
                   907.5                     -0.16928811
                     910                       -0.160239
                   912.5                     -0.15148207
                     915                     -0.14311686
                   917.5                     -0.13523483
                     920                     -0.12792013
                   922.5                     -0.12124754
