        Theta / deg                Directivity,Phi=135.0/
----------------------------------------------------------------------
                    -180                       2.3681368
                    -175                       2.3910134
                    -170                       2.3930156
                    -165                        2.375003
                    -160                       2.3383512
                    -155                       2.2849187
                    -150                       2.2169887
                    -145                       2.1372012
                    -140                       2.0484741
                    -135                       1.9539179
                    -130                       1.8567441
                    -125                       1.7601723
                    -120                       1.6673368
                    -115                       1.5811968
                    -110                       1.5044519
                    -105                       1.4394649
                    -100                        1.388195
                     -95                       1.3521404
                     -90                       1.3322939
                     -85                       1.3291126
                     -80                       1.3424971
                     -75                       1.3717916
                     -70                       1.4157982
                     -65                       1.4728076
                     -60                       1.5406467
                     -55                       1.6167438
                     -50                       1.6982078
                     -45                       1.7819209
                     -40                         1.86464
                     -35                       1.9431037
                     -30                       2.0141399
                     -25                       2.0747692
                     -20                       2.1223021
                     -15                       2.1544239
                     -10                       2.1692675
                      -5                        2.165471
                       0                       2.1421268
                       5                       2.0992355
                      10                       2.0369487
                      15                       1.9562351
                      20                       1.8585874
                      25                       1.7460336
                      30                       1.6210957
                      35                       1.4867364
                      40                       1.3462954
                      45                       1.2034144
                      50                       1.0619497
                      55                      0.92587387
                      60                      0.79916227
                      65                      0.68566877
                      70                       0.5889899
                      75                      0.51232339
                      80                      0.45832853
                      85                      0.42899837
                      90                      0.42555869
                      95                       0.4483881
                     100                      0.49700321
                     105                      0.57007241
                     110                      0.66548053
                     115                      0.78043008
                     120                      0.91156945
                     125                       1.0551366
                     130                       1.2071076
                     135                       1.3633408
                     140                       1.5197111
                     145                       1.6722312
                     150                       1.8171575
                     155                       1.9510807
                     160                       2.0710019
                     165                       2.1743946
                     170                       2.2592524
                     175                       2.3241236
                     180                       2.3681368

