        Phi / deg                Directivity,Theta=90.0/
----------------------------------------------------------------------
                    -180                      -1.6814003
                    -175                      -2.5521154
                    -170                      -3.6044614
                    -165                      -4.8854353
                    -160                      -6.4627195
                    -155                      -8.4291167
                    -150                      -10.870742
                    -145                      -13.574623
                    -140                      -14.882621
                    -135                      -13.060211
                    -130                      -10.196688
                    -125                      -7.6797462
                    -120                      -5.6380194
                    -115                      -3.9797921
                    -110                      -2.6170144
                    -105                      -1.4864658
                    -100                     -0.54425081
                     -95                      0.24049976
                     -90                      0.89000395
                     -85                       1.4206912
                     -80                        1.844862
                     -75                       2.1721328
                     -70                       2.4100688
                     -65                       2.5647744
                     -60                       2.6412739
                     -55                       2.6437742
                     -50                       2.5758426
                     -45                       2.4405156
                     -40                       2.2403498
                     -35                       1.9774166
                     -30                       1.6532397
                     -25                       1.2686691
                     -20                      0.82368283
                     -15                      0.31710144
                     -10                     -0.25380517
                      -5                     -0.89385059
                       0                      -1.6106567
                       5                      -2.4156938
                      10                      -3.3256316
                      15                      -4.3646255
                      20                       -5.567693
                      25                      -6.9862679
                      30                      -8.6970204
                      35                      -10.812796
                      40                      -13.468698
                      45                      -16.542272
                      50                      -18.128201
                      55                      -15.955253
                      60                      -12.791744
                      65                      -10.131386
                      70                      -8.0074709
                      75                      -6.2872978
                      80                      -4.8676365
                      85                      -3.6792495
                      90                      -2.6756886
                      95                       -1.825155
                     100                      -1.1051106
                     105                      -0.4993144
                     110                    0.0041660078
                     115                        0.414192
                     120                      0.73735723
                     125                      0.97851261
                     130                       1.1411045
                     135                        1.227379
                     140                       1.2384825
                     145                       1.1744744
                     150                       1.0342557
                     155                      0.81541009
                     160                      0.51394148
                     165                      0.12387939
                     170                     -0.36329986
                     175                     -0.95952267
                     180                      -1.6814003

