        Frequency / MHz                S3,3/abs,dB
----------------------------------------------------------------------
                    1500                     -0.68244153
                  1501.5                     -0.67940974
                    1503                     -0.67591742
                  1504.5                     -0.67198162
                    1506                     -0.66762519
                  1507.5                     -0.66287057
                    1509                     -0.65773892
                  1510.5                     -0.65225602
                    1512                     -0.64644594
                  1513.5                     -0.64033646
                    1515                     -0.63395341
                  1516.5                     -0.62732426
                    1518                     -0.62047476
                  1519.5                     -0.61343696
                    1521                     -0.60623635
                  1522.5                     -0.59890303
                    1524                     -0.59146384
                  1525.5                     -0.58394978
                    1527                      -0.5763877
                  1528.5                     -0.56880579
                    1530                     -0.56123273
                  1531.5                     -0.55369629
                    1533                     -0.54622189
                  1534.5                     -0.53883759
                    1536                     -0.53156815
                  1537.5                     -0.52443869
                    1539                     -0.51747366
                  1540.5                     -0.51069603
                    1542                     -0.50412716
                  1543.5                     -0.49778918
                    1545                     -0.49170255
                  1546.5                     -0.48588612
                    1548                     -0.48035696
                  1549.5                     -0.47513455
                    1551                     -0.47023156
                  1552.5                      -0.4656628
                    1554                     -0.46144264
                  1555.5                     -0.45758059
                    1557                     -0.45408853
                  1558.5                     -0.45097506
                    1560                     -0.44824818
                  1561.5                     -0.44591264
                    1563                     -0.44397374
                  1564.5                     -0.44243511
                    1566                     -0.44129983
                  1567.5                     -0.44056727
                    1569                     -0.44023675
                  1570.5                     -0.44030616
                    1572                     -0.44077289
                  1573.5                     -0.44163201
                    1575                     -0.44287543
                  1576.5                     -0.44449816
                    1578                     -0.44649037
                  1579.5                     -0.44884246
                    1581                     -0.45154387
                  1582.5                     -0.45458039
                    1584                     -0.45794115
                  1585.5                     -0.46160989
                    1587                     -0.46557153
                  1588.5                     -0.46980961
                    1590                     -0.47430718
                  1591.5                     -0.47904554
                    1593                     -0.48400588
                  1594.5                     -0.48916903
                    1596                     -0.49451255
                  1597.5                     -0.50001812
                    1599                     -0.50566171
                  1600.5                     -0.51142275
                    1602                     -0.51727644
                  1603.5                     -0.52320412
                    1605                     -0.52917934
                  1606.5                     -0.53517989
                    1608                     -0.54118485
                  1609.5                     -0.54716854
                    1611                     -0.55310709
                  1612.5                     -0.55898142
                    1614                     -0.56476588
                  1615.5                     -0.57043928
                    1617                     -0.57598109
                  1618.5                     -0.58136982
                    1620                     -0.58658551
                  1621.5                     -0.59160847
                    1623                     -0.59641859
                  1624.5                     -0.60100072
                    1626                     -0.60533571
                  1627.5                     -0.60940928
                    1629                     -0.61320575
                  1630.5                     -0.61671223
                    1632                      -0.6199166
                  1633.5                     -0.62280801
                    1635                     -0.62537624
                  1636.5                     -0.62761454
                    1638                     -0.62951412
                  1639.5                      -0.6310721
                    1641                     -0.63228261
                  1642.5                     -0.63314403
                    1644                     -0.63365714
                  1645.5                      -0.6338199
                    1647                      -0.6336359
                  1648.5                     -0.63310916
                    1650                     -0.63224339
                  1651.5                      -0.6310458
                    1653                     -0.62952594
                  1654.5                     -0.62768942
                    1656                     -0.62554979
                  1657.5                     -0.62311651
                    1659                     -0.62040376
                  1660.5                     -0.61742544
                    1662                      -0.6141968
                  1663.5                     -0.61073441
                    1665                     -0.60705256
                  1666.5                     -0.60317109
                    1668                     -0.59910906
                  1669.5                     -0.59488444
                    1671                     -0.59051681
                  1672.5                     -0.58602578
                    1674                     -0.58143323
                  1675.5                        -0.57676
                    1677                     -0.57202579
                  1678.5                     -0.56725239
                    1680                     -0.56246099
                  1681.5                     -0.55767145
                    1683                     -0.55290759
                  1684.5                     -0.54818722
                    1686                     -0.54353174
                  1687.5                     -0.53896165
                    1689                       -0.534496
                  1690.5                     -0.53015471
                    1692                     -0.52595521
                  1693.5                     -0.52191488
                    1695                     -0.51805215
                  1696.5                      -0.5143817
                    1698                     -0.51092013
                  1699.5                      -0.5076813
                    1701                     -0.50467774
                  1702.5                     -0.50192404
                    1704                     -0.49942945
                  1705.5                     -0.49720667
                    1707                     -0.49526372
                  1708.5                     -0.49360792
                    1710                     -0.49224831
                  1711.5                     -0.49118883
                    1713                     -0.49043444
                  1714.5                     -0.48998854
                    1716                     -0.48985383
                  1717.5                     -0.49003132
                    1719                     -0.49051966
                  1720.5                     -0.49131731
                    1722                     -0.49242257
                  1723.5                     -0.49383009
                    1725                      -0.4955349
                  1726.5                     -0.49753075
                    1728                     -0.49981085
                  1729.5                     -0.50236412
                    1731                     -0.50518287
                  1732.5                     -0.50825528
                    1734                     -0.51156869
                  1735.5                     -0.51511066
                    1737                      -0.5188663
                  1738.5                     -0.52282187
                    1740                     -0.52696086
                  1741.5                     -0.53126652
                    1743                      -0.5357218
                  1744.5                     -0.54030804
                    1746                     -0.54500736
                  1747.5                     -0.54979836
                    1749                      -0.5546644
                  1750.5                      -0.5595832
                    1752                     -0.56453515
                  1753.5                     -0.56949862
                    1755                     -0.57445458
                  1756.5                     -0.57938001
                    1758                     -0.58425523
                  1759.5                     -0.58905884
                    1761                     -0.59377067
                  1762.5                     -0.59837077
                    1764                     -0.60283876
                  1765.5                     -0.60715561
                    1767                     -0.61130184
                  1768.5                      -0.6152602
                    1770                     -0.61901417
                  1771.5                     -0.62254515
                    1773                     -0.62583873
                  1774.5                     -0.62888135
                    1776                      -0.6316586
                  1777.5                     -0.63415855
                    1779                     -0.63637061
                  1780.5                      -0.6382842
                    1782                     -0.63989244
                  1783.5                     -0.64118734
                    1785                     -0.64216437
                  1786.5                     -0.64282079
                    1788                     -0.64315328
                  1789.5                     -0.64316076
                    1791                     -0.64284619
                  1792.5                     -0.64221114
                    1794                     -0.64126018
                  1795.5                     -0.63999974
                    1797                     -0.63843529
                  1798.5                     -0.63658028
                    1800                     -0.63444269
                  1801.5                     -0.63203611
                    1803                     -0.62937374
                  1804.5                     -0.62647268
                    1806                     -0.62334786
                  1807.5                     -0.62001813
                    1809                      -0.6165051
                  1810.5                     -0.61282877
                    1812                     -0.60901076
                  1813.5                     -0.60507327
                    1815                     -0.60104293
                  1816.5                     -0.59694356
                    1818                      -0.5928018
                  1819.5                     -0.58864489
                    1821                     -0.58450004
                  1822.5                     -0.58039622
                    1824                     -0.57636083
                  1825.5                     -0.57242471
                    1827                     -0.56861607
                  1828.5                     -0.56496499
                    1830                     -0.56150232
                  1831.5                     -0.55825699
                    1833                     -0.55525938
                  1834.5                     -0.55254026
                    1836                     -0.55012753
                  1837.5                     -0.54805291
                    1839                     -0.54634375
                  1840.5                     -0.54502914
                    1842                     -0.54413778
                  1843.5                      -0.5436964
                    1845                     -0.54373424
                  1846.5                     -0.54427375
                    1848                     -0.54534389
                  1849.5                     -0.54696754
                    1851                     -0.54916926
                  1852.5                     -0.55197153
                    1854                     -0.55539643
                  1855.5                     -0.55946355
                    1857                     -0.56419443
                  1858.5                     -0.56960708
                    1860                     -0.57571777
                  1861.5                     -0.58254316
                    1863                     -0.59009881
                  1864.5                     -0.59839748
                    1866                     -0.60745139
                  1867.5                     -0.61727116
                    1869                     -0.62786633
                  1870.5                     -0.63924434
                    1872                     -0.65141264
                  1873.5                     -0.66437493
                    1875                      -0.6781349
                  1876.5                     -0.69269465
                    1878                     -0.70805293
                  1879.5                      -0.7242101
                    1881                     -0.74116203
                  1882.5                     -0.75890331
                    1884                     -0.77742831
                  1885.5                     -0.79672842
                    1887                     -0.81679342
                  1888.5                      -0.8376123
                    1890                     -0.85917109
                  1891.5                      -0.8814542
                    1893                     -0.90444584
                  1894.5                     -0.92812598
                    1896                      -0.9524737
                  1897.5                     -0.97746861
                    1899                      -1.0030847
                  1900.5                      -1.0292975
                    1902                      -1.0560786
                  1903.5                      -1.0833982
                    1905                      -1.1112264
                  1906.5                        -1.13953
                    1908                      -1.1682757
                  1909.5                       -1.197426
                    1911                      -1.2269441
                  1912.5                      -1.2567914
                    1914                      -1.2869279
                  1915.5                      -1.3173117
                    1917                      -1.3479005
                  1918.5                      -1.3786496
                    1920                      -1.4095147
                  1921.5                      -1.4404496
                    1923                      -1.4714065
                  1924.5                      -1.5023404
                    1926                      -1.5332021
                  1927.5                      -1.5639435
                    1929                      -1.5945164
                  1930.5                      -1.6248724
                    1932                      -1.6549625
                  1933.5                      -1.6847385
                    1935                      -1.7141548
                  1936.5                      -1.7431617
                    1938                      -1.7717159
                  1939.5                      -1.7997716
                    1941                      -1.8272857
                  1942.5                      -1.8542152
                    1944                      -1.8805225
                  1945.5                      -1.9061662
